Rack-No;MOC-No                  ;Project-Name;Proposal ;Approval;Complete;Operate;MOC-Closed;Leader;Status;Type;ISO-Register-No;Hazop;Remark;
173; 052/MOC/OCT/V/2018 ; Provide facility to spray water at AFC E-118 ; F ; F ; F ; F ; F ; YMA ; F ;O;36/ISO/MOC/IV/2019;;;
174; 053/MOC/ME/IX/2018 ; Additional new separator D-417 ; F ; F ; F ; F ; F ;DRA; F ;O;52/ISO/MOC/VIII/2021;;;
175; 054/MOC/SG/IX/2018 ; Modify outlet line R-012 ; F ; F ; F ; F ; F ;YSY; F ;O;47/ISO/MOC/V/2021;;;
176; 055/MOC/SGU/XI/2018 ; Provide direct line SCI as fuel ; F ; F ; F ; F ; F ;MSY; F ;O;40/ISO/MOC/IV/2021;;;
177; 056/MOC/SGU/XI/2018 ; Installation new boiler H-923 to replace H-921 ; F ; F ; F ; F ; F ;DRA; F ;O;53/ISO/MOC/VIII/2021;;;
178; 057/MOC/SGU/II/2019 ; Additional of separator on CO2 liquid compressor ; F ; F ; F ; F ; F ;CHD; F ;O;48/ISO/MOC/V/2021;;;
179; 058/MOC/EI/III/2019 ; Upgrade Scada PSA/Membrane ; F ; F ; F ; F ; F ;DNI; F ;O;49/ISO/MOC/V/2021;;;
180; 059/MOC/SGU/V/2019 ; Evonik Trial Membrane ; F ; F ; F ; F ; F ;MMI; F ;O;41/ISO/MOC/IV/2021;;;
181; 060/MOC/UTL/VII/2019 ; Additional of P-855 B ; F ; F ; F ; F ; F ;DNI; F ;O;;;;
182; 061/MOC/OFF/VII/2019 ; Manufacture of convenyor drumming units ; F ; F ; F ; F ; F ;MKH; F ;O;54/ISO/MOC/IX/2021;;;
